m,c1,c2,Distance
6.2,5.19,-8.09,13.280000000000001
9.05,-0.68,5.2,5.88
-0.78,6.0,-2.96,8.96
0.08,8.13,3.75,4.380000000000001
3.14,9.29,3.29,5.999999999999999
-3.56,-6.45,-3.48,2.97
-8.56,6.24,-6.68,12.92
0.36,0.56,7.83,7.27
-3.44,-6.23,-9.12,2.889999999999999
-5.99,0.62,-1.74,2.36
-3.31,-6.02,-7.56,1.54
-5.37,2.07,-6.87,8.94
3.24,-2.91,5.47,8.379999999999999
-2.29,-9.71,1.14,10.850000000000001
-9.62,-1.6,-2.84,1.2399999999999998
-8.51,-3.91,-2.83,1.08
8.08,-8.93,2.49,11.42
5.77,8.11,-9.47,17.58
4.08,3.64,9.95,6.309999999999999
2.99,-2.99,4.25,7.24
-5.89,-0.69,-2.22,1.5300000000000002
8.96,-2.02,9.58,11.6
0.04,2.51,3.35,0.8400000000000003
-0.18,-7.95,8.97,16.92
8.1,-4.07,6.07,10.14
3.23,-7.35,8.94,16.29
9.48,3.0,-5.09,8.09
-0.34,7.3,-1.43,8.73
-4.89,1.71,9.97,8.260000000000002
-1.09,9.62,7.3,2.3199999999999994
-5.43,-6.79,-1.93,4.86
-4.03,-3.33,-1.8,1.53
-5.29,-2.64,-1.05,1.59
4.82,-1.14,3.85,4.99
-6.86,5.93,-3.93,9.86
-3.46,-2.16,2.37,4.53
-4.69,3.23,7.82,4.59
6.17,-0.3,3.97,4.2700000000000005
9.09,3.63,0.88,2.75
2.28,-7.03,1.74,8.77
2.99,-0.83,-4.05,3.2199999999999998
-3.85,1.47,6.79,5.32
-1.09,-8.16,-9.82,1.6600000000000001
5.15,9.11,-8.24,17.35
1.93,4.96,7.15,2.1900000000000004
-0.09,-1.91,5.01,6.92
-3.55,-0.42,-1.5,1.08
4.36,-9.31,-9.59,0.27999999999999936
-0.03,-4.2,2.38,6.58
-1.65,-4.49,-5.63,1.1399999999999997
-9.03,8.71,2.47,6.24
-6.91,6.55,5.4,1.1499999999999995
-0.11,8.45,1.92,6.529999999999999
8.21,-8.23,0.69,8.92
-1.99,3.26,3.69,0.43000000000000016
-6.08,4.65,-3.61,8.26
6.72,8.77,-7.24,16.009999999999998
-3.11,6.02,-1.9,7.92
9.81,-7.06,-7.64,0.5800000000000001
0.66,-1.27,4.32,5.59
2.87,-6.55,-3.88,2.67
5.44,-8.32,-1.89,6.430000000000001
-1.78,-4.14,6.23,10.370000000000001
-0.56,6.2,3.23,2.97
-3.89,-2.98,7.04,10.02
-7.48,2.91,0.83,2.08
-0.69,-6.67,6.8,13.469999999999999
7.43,-1.5,7.77,9.27
5.21,7.15,3.63,3.5200000000000005
5.59,-6.59,-9.93,3.34
6.29,4.7,0.72,3.9800000000000004
0.81,5.2,6.71,1.5099999999999998
0.43,-5.98,-9.77,3.789999999999999
-2.3,2.15,-0.78,2.9299999999999997
0.13,-4.2,7.81,12.01
-2.5,0.67,-4.67,5.34
-2.35,-6.5,-4.63,1.87
-2.21,3.38,-1.73,5.109999999999999
-4.69,-5.79,-8.47,2.6800000000000006
-7.3,-1.77,-6.41,4.640000000000001
8.07,8.77,1.32,7.449999999999999
6.71,1.67,1.77,0.10000000000000009
-4.07,-7.76,9.64,17.4
0.64,5.2,3.97,1.23
-6.62,-6.5,8.35,14.85
8.15,-8.43,-1.6,6.83
-9.35,7.48,2.12,5.36
9.94,1.98,9.64,7.66
5.89,-9.2,5.27,14.469999999999999
7.06,-4.35,-6.5,2.1500000000000004
9.25,-0.9,-6.42,5.52
7.97,0.96,-8.04,9.0
6.01,-5.8,8.56,14.36
5.42,9.4,-1.05,10.450000000000001
3.63,4.93,4.39,0.54
-1.04,-4.98,1.1,6.08
0.38,3.47,-0.3,3.77
-3.41,-0.36,-2.28,1.92
4.0,9.96,-2.4,12.360000000000001
-5.21,6.3,-6.89,13.19
-3.1,-7.16,7.39,14.55
-5.66,4.17,2.75,1.42
-8.59,-6.51,1.0,7.51
-4.86,9.21,-4.0,13.21
-9.54,6.45,-7.39,13.84
-0.15,-1.54,-7.3,5.76
6.6,4.99,-4.05,9.04
5.54,5.76,-3.98,9.74
3.75,4.05,-3.32,7.369999999999999
-4.33,-6.63,7.5,14.129999999999999
-9.13,-7.09,-1.48,5.609999999999999
9.95,6.92,0.49,6.43
-5.49,1.16,-7.98,9.14
4.43,1.79,0.74,1.05
-7.42,-6.34,5.16,11.5
-0.55,2.41,-7.35,9.76
-3.19,1.16,3.12,1.9600000000000002
-8.83,-6.22,-5.65,0.5699999999999994
1.43,6.67,-4.1,10.77
1.61,-0.64,2.83,3.47
0.95,-3.92,-1.1,2.82
3.66,5.39,-6.42,11.809999999999999
4.23,5.96,-4.39,10.35
-2.6,5.82,-9.81,15.63
9.14,-0.74,9.85,10.59
-3.63,-1.75,-9.21,7.460000000000001
0.74,-3.39,1.76,5.15
7.37,7.98,-5.9,13.88
2.84,-3.36,-6.97,3.61
-3.56,1.01,1.09,0.08000000000000007
-7.83,8.26,-6.77,15.03
-8.03,-4.44,-0.19,4.25
-6.15,7.1,9.54,2.4399999999999995
0.55,-5.92,7.97,13.89
-3.8,3.2,-4.14,7.34
0.71,7.55,-8.64,16.19
0.89,-2.55,6.23,8.780000000000001
-5.38,4.95,-3.1,8.05
-6.89,-4.57,1.98,6.550000000000001
-6.8,1.47,9.57,8.1
-5.85,8.97,-8.3,17.270000000000003
-5.57,-5.29,1.81,7.1
7.94,3.64,-3.12,6.76
-5.17,-1.05,8.49,9.540000000000001
10.0,-0.99,-2.02,1.03
2.77,-0.8,-7.17,6.37
-5.57,-9.17,0.63,9.8
-2.14,2.54,9.77,7.2299999999999995
-0.11,-0.88,7.96,8.84
9.55,0.12,6.14,6.02
-8.56,1.2,9.22,8.020000000000001
-5.95,-6.04,-6.21,0.16999999999999993
8.54,3.54,-2.2,5.74
-0.87,9.04,5.78,3.259999999999999
-8.97,-9.49,0.5,9.99
3.99,-2.09,-9.27,7.18
-5.95,-0.67,9.54,10.209999999999999
3.62,-3.6,0.03,3.63
3.25,-5.14,4.0,9.14
4.33,2.26,-9.31,11.57
6.74,-8.84,5.11,13.95
4.13,5.61,-2.65,8.26
1.49,0.42,-8.43,8.85
3.7,2.53,2.2,0.3299999999999996
-7.55,-9.2,-4.36,4.839999999999999
-2.78,-7.14,4.94,12.08
-5.78,2.9,8.82,5.92
-2.9,7.71,0.78,6.93
-7.97,-0.21,-1.28,1.07
-9.92,7.29,-7.92,15.21
-1.03,-0.45,-0.3,0.15000000000000002
-2.73,7.23,-4.08,11.31
-8.37,-5.22,-1.32,3.8999999999999995
3.77,8.78,7.63,1.1499999999999995
6.74,4.62,9.68,5.06
-2.78,-2.17,4.24,6.41
2.75,1.58,-4.45,6.03
-2.8,-6.33,-1.63,4.7
4.1,-0.87,-1.9,1.0299999999999998
-0.01,4.25,-8.94,13.19
-8.47,-5.17,-2.01,3.16
-7.06,-1.67,9.93,11.6
7.4,-9.87,5.48,15.35
2.44,0.43,9.58,9.15
0.72,5.96,4.61,1.3499999999999996
1.76,6.15,-3.62,9.77
7.14,4.14,7.66,3.5200000000000005
-4.96,-9.73,6.45,16.18
6.99,8.97,5.01,3.960000000000001
-5.85,-4.84,3.32,8.16
-3.92,-8.84,-2.17,6.67
-2.33,-4.5,2.33,6.83
-3.29,-8.27,-0.35,7.92
-8.81,-2.98,4.68,7.66
4.16,-0.5,-1.63,1.13
-7.48,4.43,9.62,5.1899999999999995
-7.49,1.38,6.14,4.76
-7.11,-3.03,5.27,8.299999999999999
-8.62,-9.36,4.99,14.35
4.21,-0.02,1.95,1.97
-9.74,3.62,9.05,5.430000000000001
0.54,-9.33,-5.19,4.14
6.3,-5.74,0.0,5.74
1.26,-6.47,4.55,11.02
7.39,-8.03,8.24,16.27
-1.42,-1.42,2.98,4.4
-6.99,8.29,4.7,3.589999999999999
-9.38,2.06,-4.71,6.77
6.36,4.81,-4.54,9.35
2.42,5.72,-1.48,7.199999999999999
7.94,-0.51,0.57,1.08
5.39,6.23,0.79,5.44
5.24,9.47,-1.96,11.43
1.86,-7.62,-2.67,4.95
-7.35,-7.42,-9.24,1.8200000000000003
-8.56,-6.58,6.75,13.33
-5.62,8.43,5.03,3.3999999999999995
-1.45,4.0,-9.65,13.65
9.52,-5.93,-5.62,0.3099999999999996
1.56,-9.92,7.77,17.689999999999998
8.09,-7.81,2.23,10.04
7.92,1.45,8.5,7.05
6.13,0.52,2.5,1.98
-2.04,-9.38,6.73,16.11
-6.62,8.96,6.4,2.5600000000000005
-3.04,8.61,-6.51,15.12
1.77,-1.8,4.75,6.55
9.02,4.28,8.47,4.19
1.93,-0.86,-3.44,2.58
7.23,-7.06,0.98,8.04
0.64,2.51,-1.55,4.06
-9.02,0.23,-4.41,4.640000000000001
-0.84,4.73,-0.37,5.1000000000000005
-9.93,2.45,7.95,5.5
1.18,-5.86,-1.11,4.75
4.56,4.09,-2.75,6.84
2.91,0.55,7.4,6.8500000000000005
7.43,5.1,9.15,4.050000000000001
-6.24,1.33,1.46,0.1299999999999999
-1.77,-9.1,5.19,14.29
-1.55,6.38,9.46,3.080000000000001
-6.11,-6.76,8.8,15.56
-6.81,-3.73,-4.6,0.8699999999999997
0.66,5.57,3.77,1.8000000000000003
-1.96,8.98,5.29,3.6900000000000004
-0.27,-9.45,-6.48,2.969999999999999
2.06,-8.39,-9.23,0.8399999999999999
-0.73,9.56,-4.85,14.41
9.14,-4.48,-8.09,3.6099999999999994
6.6,0.79,-5.21,6.0
7.09,1.85,-3.0,4.85
1.97,0.95,-7.55,8.5
5.18,3.78,-9.14,12.92
-0.46,-9.28,9.79,19.07
-1.88,-2.91,-3.97,1.06
4.68,4.03,-1.17,5.2
-5.9,-9.95,0.47,10.42
-5.8,-7.97,-3.19,4.779999999999999
-2.84,7.62,8.12,0.4999999999999991
-5.65,5.28,-7.52,12.8
-5.72,-2.36,2.49,4.85
5.15,-2.59,-8.4,5.8100000000000005
1.61,4.19,-5.73,9.920000000000002
-0.06,-5.21,-6.03,0.8200000000000003
5.6,4.36,4.48,0.1200000000000001
-5.28,2.37,-1.12,3.49
-7.54,-9.33,-7.68,1.6500000000000004
2.01,5.14,-2.85,7.99
-6.95,3.34,-3.44,6.779999999999999
8.06,-9.23,1.17,10.4
9.83,-3.38,2.2,5.58
8.95,8.95,-7.69,16.64
-0.46,-6.69,-8.13,1.4400000000000004
2.11,9.05,-5.09,14.14
-5.71,9.28,-0.65,9.93
8.16,3.23,-6.27,9.5
-6.25,3.83,8.08,4.25
4.41,7.08,7.83,0.75
7.05,7.69,-1.26,8.950000000000001
-6.23,1.65,-5.43,7.08
7.04,3.98,-3.91,7.890000000000001
-1.1,6.2,0.1,6.1000000000000005
-2.3,-4.91,-3.31,1.6
-3.17,4.43,5.35,0.9199999999999999
0.27,7.94,8.32,0.3799999999999999
-8.98,6.25,-3.0,9.25
7.72,-1.05,-5.69,4.640000000000001
-8.28,-6.54,3.78,10.32
-0.66,-9.83,9.83,19.66
6.16,6.13,8.01,1.88
5.39,4.24,9.68,5.4399999999999995
-2.07,8.96,7.8,1.160000000000001
9.66,9.33,-7.85,17.18
-2.48,8.49,-3.65,12.14
-5.51,-5.75,4.01,9.76
7.86,-4.21,7.42,11.629999999999999
-7.67,2.77,1.37,1.4
-1.42,7.26,4.82,2.4399999999999995
-9.6,9.09,-2.23,11.32
5.38,0.56,9.59,9.03
7.39,-1.34,1.59,2.93
7.56,-9.39,-3.0,6.390000000000001
1.24,6.67,9.06,2.3900000000000006
1.95,4.8,1.92,2.88
-6.01,-0.95,6.12,7.07
4.8,-3.95,-0.75,3.2
-5.05,-3.17,8.5,11.67
-1.26,4.2,9.64,5.44
-2.59,9.78,2.98,6.799999999999999
7.3,5.88,2.13,3.75
-1.87,9.08,-8.22,17.3
-5.18,-3.18,-1.69,1.4900000000000002
-5.29,3.13,-5.81,8.94
-0.57,6.17,1.56,4.609999999999999
-2.64,6.38,0.97,5.41
4.53,4.24,7.88,3.6399999999999997
-6.57,5.66,3.44,2.22
-5.34,4.98,1.3,3.6800000000000006
-3.7,-7.84,2.43,10.27
8.91,-5.87,3.82,9.69
3.84,8.33,4.08,4.25
6.94,3.57,-3.31,6.88
6.86,2.11,-2.78,4.89
-5.81,-2.06,6.66,8.72
8.25,0.32,8.16,7.84
-9.5,0.3,3.46,3.16
-5.6,-1.39,3.6,4.99
-7.14,-3.71,-4.1,0.3899999999999997
-5.67,8.29,9.26,0.9700000000000006
-7.83,-5.95,-3.72,2.23
-0.98,-6.63,-3.84,2.79
0.89,7.56,7.58,0.020000000000000462
6.38,-9.75,-7.91,1.8399999999999999
4.79,-7.11,-7.1,0.010000000000000675
7.98,8.58,7.89,0.6900000000000004
-2.24,9.24,-6.75,15.99
-1.22,2.71,-5.65,8.36
5.81,-6.64,0.97,7.609999999999999
-9.35,9.42,-4.87,14.29
-7.35,9.73,-6.85,16.58
1.36,-0.71,0.48,1.19
2.56,7.41,-5.58,12.99
-1.79,4.94,-6.67,11.61
7.53,-7.77,-6.48,1.2899999999999991
1.43,9.9,1.96,7.94
9.38,-4.58,-9.65,5.07
-8.18,0.86,-8.69,9.549999999999999
8.21,4.42,-5.83,10.25
4.25,0.11,0.06,0.05
-0.35,7.13,3.28,3.85
5.13,-6.51,1.18,7.6899999999999995
9.66,-8.51,3.02,11.53
-8.14,6.81,2.76,4.05
-0.57,-2.58,2.32,4.9
-0.93,-1.5,-7.29,5.79
-1.89,-2.85,2.76,5.609999999999999
7.21,9.7,6.1,3.5999999999999996
3.98,-7.78,-9.09,1.3099999999999996
-0.58,-8.29,0.87,9.159999999999998
-2.51,9.11,8.4,0.7099999999999991
-5.53,5.06,-9.44,14.5
-7.15,1.15,9.29,8.139999999999999
6.3,3.2,-0.6,3.8000000000000003
7.98,3.45,-4.1,7.55
6.7,4.06,7.56,3.5
-2.71,-6.66,-6.32,0.33999999999999986
8.46,2.82,-7.82,10.64
2.72,-1.64,-8.75,7.11
2.78,4.51,4.31,0.20000000000000018
7.55,-1.16,9.86,11.02
-6.74,-0.14,-0.36,0.21999999999999997
9.63,3.3,-2.37,5.67
-9.84,8.64,3.59,5.050000000000001
4.38,5.84,-1.78,7.62
-9.54,0.2,7.09,6.89
8.98,7.73,1.22,6.510000000000001
-7.25,1.26,-9.66,10.92
6.83,0.27,7.09,6.82
6.69,-1.66,-2.43,0.7700000000000002
3.91,5.4,0.48,4.92
-4.64,-0.06,1.8,1.86
9.38,-1.66,1.51,3.17
4.04,2.26,0.72,1.5399999999999998
6.23,-1.06,-3.16,2.1
-7.26,-7.44,3.71,11.15
6.02,-7.64,-1.57,6.069999999999999
-7.03,-7.69,8.2,15.89
-7.26,-0.85,-3.65,2.8
-5.11,-2.59,6.28,8.870000000000001
8.44,2.48,-7.78,10.26
-1.45,-6.04,-7.25,1.21
-2.0,4.07,-4.04,8.11
6.85,-1.63,-8.57,6.94
8.11,6.94,-0.53,7.470000000000001
1.85,4.47,5.08,0.6100000000000003
0.45,8.29,-4.35,12.639999999999999
-2.74,-4.37,2.13,6.5
4.16,6.35,6.6,0.25
9.6,-4.01,-2.69,1.3199999999999998
-7.86,8.59,3.21,5.38
5.68,-4.68,0.58,5.26
-8.95,-3.06,-1.97,1.09
-6.41,-3.93,-5.34,1.4099999999999997
5.68,8.91,5.89,3.0200000000000005
9.46,4.55,-8.03,12.579999999999998
-4.34,9.24,7.11,2.13
6.06,-5.17,0.35,5.52
4.58,8.24,9.44,1.1999999999999993
-9.3,2.61,-8.52,11.129999999999999
7.89,-3.22,3.85,7.07
0.41,-0.81,-7.35,6.539999999999999
-1.94,5.64,4.4,1.2399999999999993
9.95,8.55,7.73,0.8200000000000003
8.0,8.95,-1.3,10.25
-0.57,9.52,1.13,8.39
-1.85,-1.74,-4.47,2.7299999999999995
1.23,1.49,2.94,1.45
-6.14,3.77,-2.1,5.87
7.87,2.56,-1.64,4.2
-9.08,-9.58,-4.44,5.14
6.37,-0.47,2.97,3.4400000000000004
1.91,-4.1,-5.26,1.1600000000000001
-2.09,0.17,-4.24,4.41
-1.74,-9.3,-1.53,7.7700000000000005
-0.12,-8.52,-5.75,2.7699999999999996
-9.05,-3.01,0.69,3.6999999999999997
1.67,-2.26,-0.25,2.01
3.92,-9.67,4.61,14.280000000000001
1.39,2.43,-3.88,6.3100000000000005
5.68,-7.65,2.2,9.850000000000001
1.95,3.27,0.67,2.6
-6.05,9.77,-8.52,18.29
-8.43,4.66,9.48,4.82
8.35,6.04,5.29,0.75
5.69,0.61,-7.28,7.890000000000001
0.87,-2.72,-8.43,5.709999999999999
-5.68,-8.04,9.61,17.65
-1.51,-8.7,1.9,10.6
-8.06,7.58,5.75,1.83
2.9,0.51,-4.37,4.88
7.09,-2.94,-6.62,3.68
8.03,7.68,8.32,0.6400000000000006
-0.55,4.95,0.53,4.42
-6.81,-5.91,-2.97,2.94
6.29,-0.59,7.92,8.51
5.35,0.52,-9.26,9.78
-2.37,6.88,-4.31,11.19
2.71,3.34,3.49,0.15000000000000036
6.6,1.79,9.8,8.010000000000002
-9.27,-9.96,4.5,14.46
6.67,-4.82,-0.35,4.470000000000001
-9.07,-9.95,-8.54,1.4100000000000001
2.75,-3.89,-6.75,2.86
-0.05,-7.97,-6.16,1.8099999999999996
5.16,9.23,0.82,8.41
-4.64,6.3,-8.2,14.5
1.25,1.49,3.55,2.0599999999999996
0.25,-8.19,4.65,12.84
2.38,4.77,1.61,3.1599999999999993
-4.8,-7.47,-6.39,1.08
-7.74,9.2,-5.95,15.149999999999999
5.45,6.24,-2.92,9.16
2.14,-2.16,9.1,11.26
5.21,4.38,6.52,2.1399999999999997
-2.9,4.53,-2.64,7.17
-2.27,5.49,-1.13,6.62
9.63,9.55,0.58,8.97
-9.97,7.17,-5.34,12.51
5.9,-4.76,4.76,9.52
-1.35,5.47,3.64,1.8299999999999996
-2.83,9.63,2.39,7.24
8.35,-2.85,-0.45,2.4
4.81,1.04,-4.27,5.31
-6.36,-3.55,-0.66,2.8899999999999997
6.54,0.61,-1.17,1.7799999999999998
-7.13,-9.54,1.48,11.02
2.53,-8.04,7.59,15.629999999999999
9.7,-1.59,4.87,6.46
6.89,6.92,-0.61,7.53
9.53,4.74,-1.18,5.92
-7.58,7.93,9.36,1.4299999999999997
-4.96,-4.11,6.36,10.47
-3.24,9.81,0.4,9.41
-4.87,1.41,6.6,5.1899999999999995
5.33,9.18,-1.17,10.35
-3.45,3.37,-8.65,12.02
7.97,8.78,-2.29,11.07
-7.93,5.98,5.47,0.5100000000000007
6.72,6.81,7.77,0.96
4.47,-6.96,-0.74,6.22
1.37,-1.45,-2.59,1.14
-5.29,-2.44,-3.22,0.7800000000000002
6.19,-5.5,-9.92,4.42
-6.29,5.36,5.25,0.11000000000000032
-8.99,3.43,9.98,6.550000000000001
3.14,-1.6,-2.0,0.3999999999999999
-5.17,-9.81,4.85,14.66
1.76,-6.2,1.16,7.36
5.27,-5.47,-9.54,4.069999999999999
2.15,4.6,-8.64,13.24
8.86,8.15,6.34,1.8100000000000005
-6.95,8.08,-7.18,15.26
7.89,-5.04,7.22,12.26
3.71,3.71,-0.24,3.95
0.81,-2.22,-0.89,1.33
-5.95,-3.43,-8.91,5.48
2.8,-2.46,4.18,6.64
8.5,0.09,-8.41,8.5
5.17,-0.57,-3.08,2.5100000000000002
7.07,2.76,-7.63,10.39
8.03,9.08,7.71,1.37
-0.51,2.05,-8.25,10.3
-8.31,4.04,-1.74,5.78
3.47,8.78,-2.76,11.54
